港澳频道,#genre#
翡翠台,https://sc2022.stream-link.org/tv2306.php?id=h01
翡翠台,https://epg.pw/stream/0e22249951c49760b078dc8b0ba7751cd2f13d69964892dddb16160127171c2c.ctv
翡翠台,http://s1.dtmb-s1.cc/dvb-steam/81/index.m3u8?token=N82zio4AYAUK9cyndrbm6g&expires=1700661983
翡翠台,https://epg.pw/stream/eacc8839c893bd08bff7894a40e012e551fe159dea4eb1d40254254bd4cf1044.ctv
翡翠台,https://epg.pw/stream/1417f1ccf5d6c9900879891d523bc18cfe17c644a5af97efa6f727d5f4f8ef7d.m3u8
J2台,http://s1.dtmb-s1.cc/dvb-steam/82/index.m3u8?token=BN-ToWY21E2AIT1ooFcBhg&expires=1700661983
J2台,https://sc2022.stream-link.org/tv2306.php?id=h03
無綫新聞台,http://s1.dtmb-s1.cc/dvb-steam/83/index.m3u8?token=teaT0Ss5THkYjwVCSPEYWg&expires=1700661983
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h04
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h06
明珠台,http://s1.dtmb-s1.cc/dvb-steam/84/index.m3u8?token=OCXQHNGDdwTbYXCNZOjBSg&expires=1700661983
明珠台,https://pi.0472.org/tv/mzt.php?auth=231122
無綫財經·資訊台,http://s1.dtmb-s1.cc/dvb-steam/85/index.m3u8?token=6doDcdsQa56Sqr4jLGpaQg&expires=1700661983
無綫財經·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h05
無綫財經·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h07
ViuTV,http://s1.dtmb-s1.cc/dvb-steam/99/index.m3u8?token=3lD_QTTW4y9KWX7guBC7gQ&expires=1700661983
Viu,https://epg.pw/stream/8364f173f45162eb4dda2149f59a9e84544fe18360b5f998512210bfca8211a4.ctv
Viu,http://s1.dtmb-s1.cc/ott-steam/102/index.m3u8?token=5Jw8ZahfzcW0_hXZ_zv0oA&expires=1700661983
ViuTV Six,https://epg.pw/stream/e3b6ef61296cb3a88c8940bf8d296959a56b9ab06d5299f75dd9334205ec9d14.m3u8
ViuTV Six,http://s1.dtmb-s1.cc/dvb-steam/96/index.m3u8?token=tE06mmI3LoWODRz2xM6DGA&expires=1700661983
ViuTV99,https://sc2022.stream-link.org/tv2306.php?id=h09
港台電視31,http://s1.dtmb-s1.cc/dvb-steam/31/index.m3u8?token=WJz_L9Icz3mxT9IVlvRvkg&expires=1700661983
港台電視31,https://sc2022.stream-link.org/tv2306.php?id=h11
港台電視32,http://s1.dtmb-s1.cc/dvb-steam/32/index.m3u8?token=mjC-rqoT7qvS9jie2NOUaw&expires=1700661983
港台電視32,https://sc2022.stream-link.org/tv2306.php?id=h12
港台电视33,https://sc2022.stream-link.org/tv2306.php?id=h13
香港國際財經台,https://sc2022.stream-link.org/tv2306.php?id=h15
香港開電視,https://sc2022.stream-link.org/tv2306.php?id=h16
香港開電視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h17
TVB娛樂新聞台,https://sc2022.stream-link.org/tv2306.php?id=h10
TVB華語劇台,https://sc2022.stream-link.org/tv2306.php?id=h21
TVB星河台,https://sc2022.stream-link.org/tv2306.php?id=h22
TVB千禧經典台,https://sc2022.stream-link.org/tv2306.php?id=h23
天映頻道,https://sc2022.stream-link.org/tv2306.php?id=h24
Now精選體育,https://sc2022.stream-link.org/tv2306.php?id=s01
鳳凰衛視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h18
鳳凰衛視中文台,https://sc2022.stream-link.org/tv2306.php?id=h19
澳門蓮花衛視,https://sc2022.stream-link.org/tv2306.php?id=h20
五星體育,https://sc2022.stream-link.org/tv2306.php?id=s02
台湾频道,#genre#
東森新聞,https://sc2022.stream-link.org/tv2306.php?id=t01
東森財經新聞,https://sc2022.stream-link.org/tv2306.php?id=t02
中天新聞,https://sc2022.stream-link.org/tv2306.php?id=t03
華視,https://sc2022.stream-link.org/tv2306.php?id=t04
華視新聞,https://sc2022.stream-link.org/tv2306.php?id=t05
中視新聞,https://sc2022.stream-link.org/tv2306.php?id=t06
民視新聞,https://sc2022.stream-link.org/tv2306.php?id=t07
寰宇國際新聞,https://sc2022.stream-link.org/tv2306.php?id=t08
寰宇台灣新聞,https://sc2022.stream-link.org/tv2306.php?id=t09
