•咪咕「TV」,#genre#
CCTV 1 综合,https://tv.iill.top/migu/cctv1
CCTV 2 财经,https://tv.iill.top/migu/cctv2
CCTV 3 综艺,https://tv.iill.top/migu/cctv3
CCTV 4 中文国际,https://tv.iill.top/migu/cctv4
CCTV 4 中文国际·美洲,https://tv.iill.top/migu/cctv4m
CCTV 4 中文国际·欧洲,https://tv.iill.top/migu/cctv4o
CCTV 5 体育,https://tv.iill.top/migu/cctv5
CCTV 5+ 体育赛事,https://tv.iill.top/migu/cctv5+
CCTV 6 电影,https://tv.iill.top/migu/cctv6
CCTV 7 国防军事,https://tv.iill.top/migu/cctv7
CCTV 8 电视剧,https://tv.iill.top/migu/cctv8
CCTV 9 纪录,https://tv.iill.top/migu/cctv9
CCTV 10 科教,https://tv.iill.top/migu/cctv10
CCTV 11 戏曲,https://tv.iill.top/migu/cctv11
CCTV 12 社会与法,https://tv.iill.top/migu/cctv12
CCTV 13 新闻,https://tv.iill.top/migu/cctv13
CCTV 14 少儿,https://tv.iill.top/migu/cctv14
CCTV 15 音乐,https://tv.iill.top/migu/cctv15
CCTV 17 农村农业,https://tv.iill.top/migu/cctv17
CETV 1 中国教育,https://tv.iill.top/migu/cetv1
CETV 2 中国教育,https://tv.iill.top/migu/cetv2
CETV 4 中国教育,https://tv.iill.top/migu/cetv4
CGTN,https://tv.iill.top/CGTN/cgtn
CGTN Documentary,https://tv.iill.top/CGTN/cgtn_doc
CGTN Русский,https://tv.iill.top/CGTN/cgtn_russian
CGTN Français,https://tv.iill.top/CGTN/cgtn_francais
CGTN Español,https://tv.iill.top/CGTN/cgtn_espanol
CGTN العربية,https://tv.iill.top/CGTN/cgtn_arabic
浙江卫视,https://tv.iill.top/migu/zjws
湖南卫视,https://tv.iill.top/migu/hnws
东方卫视,https://tv.iill.top/migu/dfws
江苏卫视,https://tv.iill.top/migu/jsws
广东卫视,https://tv.iill.top/migu/gdws
江西卫视,https://tv.iill.top/migu/jxws
陕西卫视,https://tv.iill.top/migu/sxws
湖北卫视,https://tv.iill.top/migu/hubws
东南卫视,https://tv.iill.top/migu/dnws
海峡卫视,https://tv.iill.top/migu/hxws
辽宁卫视,https://tv.iill.top/migu/lnws
四海钓鱼,https://tv.iill.top/migu/shdy
上海新闻综合,https://tv.iill.top/migu/shxw
上视东方影视,https://tv.iill.top/migu/shys
CHC 影迷电影,https://tv.iill.top/migu/chcym
CHC 动作电影,https://tv.iill.top/migu/chcdz
CHC 家庭影院,https://tv.iill.top/migu/chcjt
新片放映,https://tv.iill.top/migu/xpfy
高清大片,https://tv.iill.top/migu/gqdp
高能悬疑,https://tv.iill.top/migu/gnxy
经典香港电影,https://tv.iill.top/migu/hkdy
抗战经典影片,https://tv.iill.top/migu/kzjd
血色山河·抗日战争影像志,https://tv.iill.top/migu/xssh
咪咕24小时体育,https://tv.iill.top/migu/mgty
五环传奇,https://tv.iill.top/migu/whcq
赛事最经典,https://tv.iill.top/migu/sszjd
掼蛋精英赛,https://tv.iill.top/migu/gdjs
体坛名栏汇,https://tv.iill.top/migu/ttmh
和美乡途轮播,https://tv.iill.top/migu/hmxt
最强综艺趴,https://tv.iill.top/migu/zqzyp
嘉佳卡通,https://tv.iill.top/migu/jddh
新动力量创一流,https://tv.iill.top/migu/xdll
钱塘江,https://tv.iill.top/migu/qtj
•港澳「限制」,#genre#
Now新聞台,https://yang-1989.eu.org/live/now-332
Now財經台,https://yang-1989.eu.org/live/now-333
ViuTV,https://yang-1989.eu.org/live/ViuTV
ViuTVsix,https://yang-1989.eu.org/live/ViuTVsix
ViuTV 全運1台,https://yang-1989.eu.org/live/ViuTV-1
ViuTV 全運2台,https://yang-1989.eu.org/live/ViuTV-2
ViuTV 全運3台,https://yang-1989.eu.org/live/ViuTV-3
ViuTV 全運4台,https://yang-1989.eu.org/live/ViuTV-4
鳳凰衛視·中文,https://tv.iill.top/phenix/fhzw
鳳凰衛視·資訊,https://tv.iill.top/phenix/fhzx
鳳凰衛視·香港,https://tv.iill.top/phenix/fhhk
HOY 國際財經台「限HK」,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台「限HK」,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY 生活台,https://tv.iill.top/hoy/8
HOY 劇集台,https://tv.iill.top/hoy/9
HOY 怪談台,https://tv.iill.top/hoy/10
HOY 體育台,https://tv.iill.top/hoy/11
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32」,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳門蓮花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
•台湾「限制」,#genre#
博斯無限 一,https://tv.iill.top/litv/litv-longturn10
博斯無限 二,https://tv.iill.top/litv/litv-longturn13
博斯網球,https://tv.iill.top/litv/litv-longturn09
博斯運動 一,https://tv.iill.top/litv/litv-longturn07
博斯運動 二,https://tv.iill.top/litv/litv-longturn08
博斯高球 一,https://tv.iill.top/litv/litv-longturn05
博斯高球 二,https://tv.iill.top/litv/litv-longturn06
博斯魅力,https://tv.iill.top/litv/litv-longturn04
時尚運動X,https://tv.iill.top/litv/4gtv-4gtv014
智林體育,https://tv.iill.top/litv/4gtv-4gtv101
東森新聞,https://tv.iill.top/litv/4gtv-4gtv152
東森財經,https://tv.iill.top/litv/4gtv-4gtv153
TVBS,https://tv.iill.top/litv/4gtv-4gtv073
TVBS 新聞,https://tv.iill.top/litv/4gtv-4gtv072
TVBS 歡樂,https://tv.iill.top/litv/4gtv-4gtv068
TVBS 精采,https://tv.iill.top/litv/4gtv-4gtv067
